sample_id,qid,type,verdict,question,expected_answer,unit_id,location,unit_text,judge_span_or_reason,agree,auditor_note
S011,P17,dropped(cross_modal_split),kept,"In the takeaways, what speedup over state-of-the-art query-time-only solutions is reported, and in §4.1 of the usenix paper what example cheap ingest-time CNN architectures are mentioned for classiﬁcation?",162X (up to 607X) faster; YOLO and Faster RCNN.,osdi18_slides_hsieh:p26:t0,osdi18_slides_hsieh.pdf p.26,"Key Takeaways • Problem: Querying objects in massive videos is challenging • Our Approach: Low-latency query with low-cost ingest • Key Results • 57X (up to 92X) cheaper than ingest-time-only solutions • 162X (up to 607X) faster than state-of-the-art, query-time-only solutions 26 Objects Specialized, Compressed CNN CNN specialization Frames Frames Frames Top-K Index Ingest-time Query-time Querying for trucks Expensive CNN Frames with trucks Object clusters Top-K results Centroid objects","162X (up to 607X) faster than state-of-the-art, query-time-only solutions",,
S012,P07,dropped(paper_only),dropped,"According to §4.1, what relatively inexpensive technique is mentioned for detecting objects separately in static-camera settings such as surveillance or traffic installations?",background subtraction,osdi18-hsieh:p6:t1,osdi18-hsieh.pdf p.6,"other approximations (§2.1), while specialization of CNNs [43,75] uses the observation that a speciﬁc video stream contains only a small number of ob- ject classes and their appearance is more constrained than in a generic video (§2.2.2). Both optimizations are done automatically by Focus and together result in ingest-time CNNs that are up to 96× cheaper than the GT-CNN. The cheap ingest-time CNNs are less accurate, i.e., their top-most results often do not match the top-most classiﬁcations of GT-CNN. Therefore, to improve recall, Focus associates each object with the top-K classiﬁcation results of the cheap CNN, instead of only its top-most re- sult. Increasing K increases recall because the top-most re- sult of GT-CNN often falls within the ingest-time CNN’s top-K results. At query-time, Focus uses the GT-CNN to remove objects in this larger set that do not match the class, to regain the precision lost by including the top-K. 2) Clustering similar objects. A high value of K at ingest-time increases the work done at query time, thereby increasing query latency. To reduce this overhead, Focus clusters similar objects at ingest-time using feature vec- tors from the cheap ingest-time CNN (§2.2.3). In each cluster, at query-time, we run only the cluster centroid through GT-CNN and apply the classiﬁed result from the GT-CNN to all objects in the cluster. Thus, a tight cluster- ing of",judge: text states none of the reference facts,,
S013,P07,dropped(paper_only),dropped,"According to §4.1, what relatively inexpensive technique is mentioned for detecting objects separately in static-camera settings such as surveillance or traffic installations?",background subtraction,osdi18-hsieh:p6:t2,osdi18-hsieh.pdf p.6,"at ingest-time using feature vec- tors from the cheap ingest-time CNN (§2.2.3). In each cluster, at query-time, we run only the cluster centroid through GT-CNN and apply the classiﬁed result from the GT-CNN to all objects in the cluster. Thus, a tight cluster- ing of objects is crucial for high precision and recall. 3) Trading off ingest vs. query costs. Focus automati- cally chooses the ingest CNN, its K, and specialization and clustering parameters to achieve the desired precision and recall targets. These choices also help Focus trade off between the work done at ingest-time and query-time. For instance, to save ingest work, Focus can select a cheaper ingest-time CNN, and then counteract the resultant loss in recall by using a higher K and running the expensive GT-CNN on more objects at query time. Focus chooses its parameters so as to offer a sharp improvement in one of the two costs for a small degradation in the other cost. Be- cause the desired trade-off point is application-dependent, Focus provides users with options: “ingest-optimized”, “query-optimized”, and “balanced” (the default). Figure 1 (§1) presents an example result. 4. Video Ingest & Querying Techniques We describe the main techniques used in Focus: construct- ing approximate indexes with cheap CNNs at ingest-time (§4.1), specializing the CNNs to the speciﬁc videos (§4.2), and identifying similar objects and frames to save",judge: text states none of the reference facts,,
S014,P07,dropped(paper_only),dropped,"According to §4.1, what relatively inexpensive technique is mentioned for detecting objects separately in static-camera settings such as surveillance or traffic installations?",background subtraction,osdi18-hsieh:p6:t3,osdi18-hsieh.pdf p.6,"(§1) presents an example result. 4. Video Ingest & Querying Techniques We describe the main techniques used in Focus: construct- ing approximate indexes with cheap CNNs at ingest-time (§4.1), specializing the CNNs to the speciﬁc videos (§4.2), and identifying similar objects and frames to save on redundant CNN processing (§4.3). §4.4 describes how Focus ﬂexibly trades off ingest cost and query latency. 4.1. Approximate Index via Cheap Ingest Focus indexes the live videos at ingest-time to reduce the query-time latency. We detect and classify the objects within the frames of the live videos using ingest-time CNNs that are far cheaper than the ground-truth GT-CNN. We use these classiﬁcations to index objects by class. Cheap ingest-time CNN. As noted earlier, the user pro- vides Focus with a GT-CNN. Optionally, the user can also provide other CNN architectures to be used in Focus’ search for cheap CNNs. Examples include object detector CNNs (which vary in their resource costs and accura- cies) like YOLO [68] and Faster RCNN [69] that jointly detect the objects in a frame and classify them. Alterna- tively, objects can be detected separately using relatively inexpensive techniques like background subtraction [28], which are well-suited for static cameras, as in surveillance or trafﬁc installations, and then the detected objects can be classiﬁed using object classiﬁcation CNN architectures USENIX Association 13th USENIX Symposium on Operating Systems",judge said yes but could not quote a supporting span,,
S015,P07,dropped(paper_only),dropped,"According to §4.1, what relatively inexpensive technique is mentioned for detecting objects separately in static-camera settings such as surveillance or traffic installations?",background subtraction,osdi18-hsieh:p6:c0,osdi18-hsieh.pdf p.6,Figure 4: Overview of Focus.,judge: text states none of the reference facts,,
S016,P07,dropped(paper_only),dropped,"According to §4.1, what relatively inexpensive technique is mentioned for detecting objects separately in static-camera settings such as surveillance or traffic installations?",background subtraction,osdi18-hsieh:p6:t0,osdi18-hsieh.pdf p.6,"Objects Specialized, Compressed CNN Object top-K classes Object feature vectors Ingest-time Query-time Querying for class X Object clusters Frames with objects of class X GT-CNN CNN specialization Matching clusters for X Frames Frames Frames Top-K index Centroid objects IT1 IT2 IT3 IT4 QT2 QT1 QT3 QT4 Figure 4: Overview of Focus. The top-K ingest index is a mapping between the object classes and the clusters. In particular, we create a mapping from each object class to the clusters with top K matching object classes. Separately, we store the mapping between clusters and their corresponding objects and frames. The structure of the index is: object class →⟨cluster ID⟩ cluster ID →[centroid object, ⟨objects⟩in cluster, ⟨frame IDs⟩of objects] We next explain how Focus’ key techniques keep ingest cost and query latency low while also meeting the user- speciﬁed recall and precision targets. 1) Top-K index via cheap ingesting: Focus makes index- ing at ingest-time cheap by using compressed and special- ized alternatives of the GT-CNN for each video stream. Compression of CNNs [34, 42, 48, 78] uses fewer con- volutional layers and other approximations (§2.1), while specialization of CNNs [43,75] uses the observation that a speciﬁc video stream contains only a small number of ob- ject classes and their appearance is more constrained than in a generic video (§2.2.2). Both optimizations are done automatically by Focus and",judge: text states none of the reference facts,,
S017,P08,paper_only,dropped,"Which conference is listed for the paper ""Live video analytics at scale with approximation and delay-tolerance,"" and what numbered USENIX symposium on Operating Systems Design and Implementation appears in the evidence?","NSDI, 2017; 13th USENIX Symposium on Operating Systems Design and Implementation",osdi18-hsieh:p18:t2,osdi18-hsieh.pdf p.18,"notebook papers, 2010. [80] C. Snoek and M. Worring. Multimodal video index- ing: A review of the state-of-the-art. Multimedia Tools Appl., 2005. [81] C. G. M. Snoek and M. Worring. Concept-based video retrieval. Foundations and Trends in Informa- tion Retrieval, 2009. [82] S. Stober, D. J. Cameron, and J. A. Grahn. Using convolutional neural networks to recognize rhythm stimuli from electroencephalography recordings. In NIPS, 2014. [83] Y. Sun, X. Wang, and X. Tang. Deep convolutional network cascade for facial point detection. In CVPR, 2013. [84] C. Szegedy, W. Liu, Y. Jia, P. Sermanet, S. E. Reed, D. Anguelov, D. Erhan, V. Vanhoucke, and A. Rabi- novich. Going deeper with convolutions. In CVPR, 2015. [85] P.-N. Tan, M. Steinbach, and V. Kumar. Introduction to Data Mining, (First Edition). Addison-Wesley Longman Publishing Co., Inc., Boston, MA, USA, 2005. [86] N. Tatbul, U. Çetintemel, and S. B. Zdonik. Stay- ing FIT: efﬁcient load shedding techniques for dis- tributed stream processing. In VLDB, 2007. [87] Y. Tu, S. Liu, S. Prabhakar, and B. Yao. Load shed- ding in stream databases: A control-based approach. In VLDB, 2006. [88] P. A. Viola and M. J. Jones. Rapid object detection using a boosted cascade of simple features. In CVPR, 2001. [89] H. Xin, D. Lee, F. Hormozdiari, S. Yedkar, O. Mutlu, and C. Alkan. Accelerating read mapping with FastHASH. BMC Genomics, 2013.",judge: text states none of the reference facts,,
S018,P09,paper_only,kept,"Which 2006 TOMCCAP paper in the references is about content-based multimedia information retrieval, and who are its authors?","""Content-based multimedia information retrieval: State of the art and challenges"" by M. S. Lew, N. Sebe, C. Djeraba, and R. Jain.",osdi18-hsieh:p17:t2,osdi18-hsieh.pdf p.17,"networks for emotion recognition in video. In ICMI, 2013. [50] D. Kang, J. Emmons, F. Abuzaid, P. Bailis, and M. Zaharia. NoScope project website. https:// github.com/stanford-futuredata/noscope. [51] D. Kang, J. Emmons, F. Abuzaid, P. Bailis, and M. Zaharia. NoScope: Optimizing deep CNN-based queries over video streams at scale. PVLDB, 2017. [52] A. Karpathy, G. Toderici, S. Shetty, T. Leung, R. Sukthankar, and F. F. Li. Large-scale video clas- siﬁcation with convolutional neural networks. In CVPR, 2014. [53] A. Krizhevsky, I. Sutskever, and G. E. Hinton. Ima- geNet classiﬁcation with deep convolutional neural networks. In NIPS, 2012. [54] P. L. Lehman and S. B. Yao. Efﬁcient locking for concurrent operations on B-trees. ACM Trans. Database Syst., 1981. [55] M. S. Lew, N. Sebe, C. Djeraba, and R. Jain. Content-based multimedia information retrieval: State of the art and challenges. TOMCCAP, 2006. [56] H. Li, Z. Lin, X. Shen, J. Brandt, and G. Hua. A con- volutional neural network cascade for face detection. In CVPR, 2015. [57] Q. Li, W. Cai, X. Wang, Y. Zhou, D. D. Feng, and M. Chen. Medical image classiﬁcation with convo- lutional neural network. In ICARCV, 2014. [58] R. Lienhart and J. Maydt. An extended set of Haar- like features for rapid object detection. In ICIP, 2002. [59] T. Lin, P. Dollár, R. B. Girshick, K. He, B. Hariharan, and S. J. Belongie.","Content-based multimedia information retrieval: State of the art and challenges. TOMCCAP, 2006.",,
S019,P16,paper_only,kept,"In the surveillance example discussed in the 13th USENIX Symposium paper, which Focus design corresponds to the slide deck claim of reducing 5 hours to 2 mins/month/stream, and what ingest cost per month per stream does the paper report for that design?",Focus-Balance; $8/month/stream,osdi18_slides_hsieh:p22:t0,osdi18_slides_hsieh.pdf p.22,Average End-to-End Performance 22 0 0.2 0.4 0.6 0.8 1 0 0.2 0.4 0.6 0.8 1 Query Latency Ingest Cost Better Better NoScope (5 hours/month/stream) Ingest-heavy ($380/month/stream) Focus 162X Faster (5 hours ➔2 mins/month/stream) 57X Cheaper ($380➔$7/month/stream) Focus achieves low-latency query with low-cost ingest Balanced Opt-Ingest Opt-Query 0 0.005 0.01 0.015 0 0.01 0.02 0.03,Focus 162X Faster (5 hours ➔2 mins/month/stream),,
S020,P16,paper_only,dropped,"In the surveillance example discussed in the 13th USENIX Symposium paper, which Focus design corresponds to the slide deck claim of reducing 5 hours to 2 mins/month/stream, and what ingest cost per month per stream does the paper report for that design?",Focus-Balance; $8/month/stream,osdi18-hsieh:p3:t2,osdi18-hsieh.pdf p.3,"with the GT-CNN at query-time, and assign the same class to all objects in the cluster. This considerably reduces query latency. Clus- tering, in fact, identiﬁes redundant objects even across non-contiguous and temporally-distant frames. (3) Trading off ingest cost vs. query latency. Focus intelligently chooses its parameters (including K and the cheap ingest-time CNN) to meet user-speciﬁed targets on precision and recall. Among the parameter choices that meet the accuracy targets, it allows the user to trade off between ingest cost and query latency. For example, using a cheaper ingest CNN reduces the ingest cost but increases the query latency as Focus needs to use a larger K for the top-K index to achieve the accuracy targets. Focus automatically identiﬁes the “sweet spot” in parameters, which sharply improves one of ingest cost or query latency for a small worsening of the other. It also allows for policies to balance the two, depending on the fraction of videos the application expects to get queried. In summary, Focus’ ingest-time and query-time oper- ations are as follows. At ingest-time, Focus classiﬁes the detected objects using a cheap CNN, clusters simi- lar objects, and indexes each cluster centroid using the top-K most conﬁdent classiﬁcation results, where K is auto-selected based on the user-speciﬁed precision, recall, and cost/latency trade-off point. At query-time, Focus looks up the ingest index for cluster",judge: text states none of the reference facts,,
S021,P09,paper_only,dropped,"Which 2006 TOMCCAP paper in the references is about content-based multimedia information retrieval, and who are its authors?","""Content-based multimedia information retrieval: State of the art and challenges"" by M. S. Lew, N. Sebe, C. Djeraba, and R. Jain.",osdi18-hsieh:p17:t1,osdi18-hsieh.pdf p.17,"2015. [45] K. He, X. Zhang, S. Ren, and J. Sun. Deep residual learning for image recognition. In CVPR, 2016. [46] W. Hu, N. Xie, L. Li, X. Zeng, and S. J. Maybank. A survey on visual content-based video indexing and retrieval. IEEE Trans. Systems, Man, and Cybernet- ics, Part C, 2011. [47] G. B. Huang, M. Ramesh, T. Berg, and E. Learned- Miller. Labeled faces in the wild: A database for studying face recognition in unconstrained environ- ments. Technical Report 07-49, University of Mas- sachusetts, Amherst, October 2007. [48] M. Jaderberg, A. Vedaldi, and A. Zisserman. Speed- ing up convolutional neural networks with low rank expansions. CoRR, abs/1405.3866, 2014. [49] S. E. Kahou, C. J. Pal, X. Bouthillier, P. Frou- menty, Ç. Gülçehre, R. Memisevic, P. Vincent, A. C. Courville, Y. Bengio, R. C. Ferrari, M. Mirza, S. Jean, P. L. Carrier, Y. Dauphin, N. Boulanger- Lewandowski, A. Aggarwal, J. Zumer, P. Lamblin, J. Raymond, G. Desjardins, R. Pascanu, D. Warde- Farley, A. Torabi, A. Sharma, E. Bengio, K. R. Konda, and Z. Wu. Combining modality speciﬁc deep neural networks for emotion recognition in video. In ICMI, 2013. [50] D. Kang, J. Emmons, F. Abuzaid, P. Bailis, and M. Zaharia. NoScope project website. https:// github.com/stanford-futuredata/noscope. [51] D. Kang, J. Emmons, F. Abuzaid, P. Bailis, and M. Zaharia. NoScope: Optimizing deep CNN-based queries over video",judge: text states none of the reference facts,,
S022,P21,single_modality,kept,"In the key takeaway, what problem are they trying to solve, and according to the takeaways slide, by how much is Focus cheaper than ingest-time-only solutions?","They are trying to solve querying objects in massive videos, and Focus is 57X cheaper than ingest-time-only solutions.",osdi18_slides_hsieh:p26:t0,osdi18_slides_hsieh.pdf p.26,"Key Takeaways • Problem: Querying objects in massive videos is challenging • Our Approach: Low-latency query with low-cost ingest • Key Results • 57X (up to 92X) cheaper than ingest-time-only solutions • 162X (up to 607X) faster than state-of-the-art, query-time-only solutions 26 Objects Specialized, Compressed CNN CNN specialization Frames Frames Frames Top-K Index Ingest-time Query-time Querying for trucks Expensive CNN Frames with trucks Object clusters Top-K results Centroid objects",Problem: Querying objects in massive videos is challenging,,
S023,P24,single_modality,kept,"In the comparison discussed here, what monthly per-stream cost is associated with the ingest-heavy baseline that does analyzing live videos at ingest time, and what query time does the no-scope design take for a month-long video?",$380/month/stream; five hours,osdi18_slides_hsieh:p4:t0,osdi18_slides_hsieh.pdf p.4,Ingest Time Analysis: Too Costly • Analyzing live videos at ingest time can make query fast • But it is costly • Potentially wasteful (ingest all garage cameras vs. query one) 4 Ingest Query Object Class → [Frames] $380/month/stream,$380/month/stream,,
S024,P22,single_modality,kept,"According to the slide, Focus reduces query time to 2 mins per month per stream; in the spoken summary, what was the original query time in five hours, and how much does Focus spend per month per stream on ingest?",five hours; $7 per month per stream,hsieh:a34,hsieh.mp3 15:04-15:33,"In short, focus on average is 57 times cheaper than ingest heavy, which means that we only need to spend $7 per month per stream to ingest videos. And the query latency compared to no scope is 162 times faster. So now we only need to spend two minutes instead of five hours to query a month long video. So we can see the focus achieve low latency query with low cost ingest.",So now we only need to spend two minutes instead of five hours to query a month long video.,,
S025,P25,single_modality,dropped,"In the approach where expensive CNNs are run only when a user is interested in a particular video at a particular time, what lot-saving benefit is mentioned in the transcript, and according to the slide deck’s Query Time Analysis, how long is analyzing a month-long video still said to take?","It can save a lot of waste and money (and ingest time), and analyzing a month-long video still takes 5 hours.",osdi18_slides_hsieh:p5:g0,osdi18_slides_hsieh.pdf p.5,Query Time Analysis: Too Slow Loading... [| PRR a aR ara Ree,judge: text states none of the reference facts,,
S026,P13,single_modality,kept,"Before they dive into their solution, what very quick background does the speaker say they will give so everyone is on the same page?",a very quick background of convolutional neural networks,hsieh:a9,hsieh.mp3 3:50-4:18,"To be more specific, we want to build a system that we can process a lot of live videos at ingest time with a user provided CNN and accuracy target. And then at query time, when a user wants to query a particular object class, we return the frames very quickly. Before we dive in our solution, let me give a very quick background of convolutional neural networks so that we are on the same page.",let me give a very quick background of convolutional neural networks so that we are on the same page.,,
S027,P02,slides_only,kept,"In the slide's ranked comparison, what item is ranked 4th by the Expensive CNN and what item is ranked 2nd by the Cheap CNN?",Recreational vehicle; Airplane,osdi18_slides_hsieh:p12:g1,osdi18_slides_hsieh.pdf p.12,Challenge: Cheap CNNs are Less Accurate Rank | Expensive CNN Cheap CNN Truck Moving vanfg] Moving Van Airplane Passenger Car Truck Ww Recreational . Passenger Car vehicle 1.,Rank | Expensive CNN ... Recreational .,,
S028,P23,slides_only,kept,"In the truck example discussed versus the cheap CNN’s topmost output, what wrong label does the spoken transcript say the cheap CNN tell us, and what is the expensive CNN’s rank-4 result for that same input on the slide deck?","The cheap CNN’s topmost wrong label is moving van, and the expensive CNN’s rank-4 result is recreational vehicle.",osdi18_slides_hsieh:p12:g1,osdi18_slides_hsieh.pdf p.12,Challenge: Cheap CNNs are Less Accurate Rank | Expensive CNN Cheap CNN Truck Moving vanfg] Moving Van Airplane Passenger Car Truck Ww Recreational . Passenger Car vehicle 1.,Cheap CNN Truck Moving vanfg] Moving Van,,
